rho [kg/m3], e [J/kg], P [Pa] 
126.64425, 413304.53161, 1809400.00000 
126.43013, 413280.34589, 1807769.90991 
126.21635, 413256.13786, 1806139.81982 
126.00290, 413231.90799, 1804509.72973 
125.78979, 413207.65606, 1802879.63964 
125.57701, 413183.38208, 1801249.54955 
125.36457, 413159.08606, 1799619.45946 
125.15246, 413134.76803, 1797989.36937 
124.94068, 413110.42798, 1796359.27928 
124.72924, 413086.06595, 1794729.18919 
124.51813, 413061.68194, 1793099.09910 
124.30736, 413037.27596, 1791469.00901 
124.09691, 413012.84803, 1789838.91892 
123.88680, 412988.39795, 1788208.82883 
123.67702, 412963.92613, 1786578.73874 
123.46758, 412939.43239, 1784948.64865 
123.25846, 412914.91675, 1783318.55856 
123.04968, 412890.37922, 1781688.46847 
122.84122, 412865.81981, 1780058.37838 
122.63310, 412841.23852, 1778428.28829 
122.42531, 412816.63536, 1776798.19820 
122.21784, 412792.01035, 1775168.10811 
122.01071, 412767.36349, 1773538.01802 
121.80390, 412742.69478, 1771907.92793 
121.59742, 412718.00424, 1770277.83784 
121.39127, 412693.29186, 1768647.74775 
121.18545, 412668.55767, 1767017.65766 
120.97995, 412643.80165, 1765387.56757 
120.77478, 412619.02381, 1763757.47748 
120.56994, 412594.22417, 1762127.38739 
120.36542, 412569.40272, 1760497.29730 
120.16123, 412544.55946, 1758867.20721 
119.95736, 412519.69440, 1757237.11712 
119.75382, 412494.80754, 1755607.02703 
119.55060, 412469.89888, 1753976.93694 
119.34770, 412444.96842, 1752346.84685 
119.14513, 412420.01617, 1750716.75676 
118.94288, 412395.04212, 1749086.66667 
118.74095, 412370.04627, 1747456.57658 
118.53934, 412345.02862, 1745826.48649 
118.33805, 412319.98917, 1744196.39640 
118.13709, 412294.92792, 1742566.30631 
117.93644, 412269.84487, 1740936.21622 
117.73612, 412244.74001, 1739306.12613 
117.53611, 412219.61334, 1737676.03604 
117.33642, 412194.46485, 1736045.94595 
117.13705, 412169.29455, 1734415.85586 
116.93800, 412144.10242, 1732785.76577 
116.73927, 412118.88846, 1731155.67568 
116.54085, 412093.65267, 1729525.58559 
116.34275, 412068.39504, 1727895.49550 
116.14496, 412043.11556, 1726265.40541 
115.94749, 412017.81423, 1724635.31532 
115.75034, 411992.49104, 1723005.22523 
115.55349, 411967.14597, 1721375.13514 
115.35697, 411941.77903, 1719745.04505 
115.16075, 411916.39021, 1718114.95495 
114.96485, 411890.97948, 1716484.86486 
114.76926, 411865.54685, 1714854.77477 
114.57398, 411840.09230, 1713224.68468 
114.37901, 411814.61583, 1711594.59459 
114.18435, 411789.11742, 1709964.50450 
113.99000, 411763.59706, 1708334.41441 
113.79596, 411738.05474, 1706704.32432 
113.60223, 411712.49044, 1705074.23423 
113.40881, 411686.90415, 1703444.14414 
113.21570, 411661.29587, 1701814.05405 
113.02289, 411635.66557, 1700183.96396 
112.83039, 411610.01324, 1698553.87387 
112.63820, 411584.33887, 1696923.78378 
112.44631, 411558.64244, 1695293.69369 
112.25472, 411532.92394, 1693663.60360 
112.06344, 411507.18335, 1692033.51351 
111.87247, 411481.42065, 1690403.42342 
111.68180, 411455.63583, 1688773.33333 
111.49143, 411429.82887, 1687143.24324 
111.30136, 411403.99976, 1685513.15315 
111.11159, 411378.14847, 1683883.06306 
110.92212, 411352.27498, 1682252.97297 
110.73296, 411326.37928, 1680622.88288 
110.54409, 411300.46135, 1678992.79279 
110.35553, 411274.52117, 1677362.70270 
110.16726, 411248.55872, 1675732.61261 
109.97929, 411222.57398, 1674102.52252 
109.79162, 411196.56692, 1672472.43243 
109.60424, 411170.53753, 1670842.34234 
109.41716, 411144.48579, 1669212.25225 
109.23038, 411118.41167, 1667582.16216 
109.04389, 411092.31515, 1665952.07207 
108.85769, 411066.19620, 1664321.98198 
108.67179, 411040.05481, 1662691.89189 
108.48619, 411013.89095, 1661061.80180 
108.30087, 410987.70460, 1659431.71171 
108.11585, 410961.49573, 1657801.62162 
107.93112, 410935.26432, 1656171.53153 
107.74668, 410909.01034, 1654541.44144 
107.56253, 410882.73377, 1652911.35135 
107.37867, 410856.43458, 1651281.26126 
107.19510, 410830.11274, 1649651.17117 
107.01182, 410803.76824, 1648021.08108 
106.82883, 410777.40103, 1646390.99099 
106.64612, 410751.01110, 1644760.90090 
106.46370, 410724.59841, 1643130.81081 
106.28157, 410698.16294, 1641500.72072 
106.09972, 410671.70467, 1639870.63063 
105.91815, 410645.22355, 1638240.54054 
105.73688, 410618.71956, 1636610.45045 
105.55588, 410592.19268, 1634980.36036 
105.37517, 410565.64287, 1633350.27027 
105.19474, 410539.07010, 1631720.18018 
105.01459, 410512.47434, 1630090.09009 
104.83473, 410485.85556, 1628460.00000 
104.65514, 410459.21373, 1626829.90991 
104.47584, 410432.54882, 1625199.81982 
104.29681, 410405.86080, 1623569.72973 
104.11807, 410379.14962, 1621939.63964 
103.93960, 410352.41527, 1620309.54955 
103.76141, 410325.65770, 1618679.45946 
103.58349, 410298.87689, 1617049.36937 
103.40586, 410272.07279, 1615419.27928 
103.22850, 410245.24538, 1613789.18919 
103.05141, 410218.39462, 1612159.09910 
102.87460, 410191.52048, 1610529.00901 
102.69806, 410164.62292, 1608898.91892 
102.52180, 410137.70191, 1607268.82883 
102.34581, 410110.75740, 1605638.73874 
102.17009, 410083.78937, 1604008.64865 
101.99465, 410056.79777, 1602378.55856 
101.81947, 410029.78258, 1600748.46847 
101.64457, 410002.74374, 1599118.37838 
101.46993, 409975.68124, 1597488.28829 
101.29557, 409948.59502, 1595858.19820 
101.12147, 409921.48505, 1594228.10811 
100.94764, 409894.35129, 1592598.01802 
100.77408, 409867.19370, 1590967.92793 
100.60079, 409840.01224, 1589337.83784 
100.42776, 409812.80688, 1587707.74775 
100.25500, 409785.57757, 1586077.65766 
100.08250, 409758.32428, 1584447.56757 
99.91027, 409731.04696, 1582817.47748 
99.73830, 409703.74557, 1581187.38739 
99.56659, 409676.42007, 1579557.29730 
99.39515, 409649.07042, 1577927.20721 
99.22397, 409621.69658, 1576297.11712 
99.05305, 409594.29851, 1574667.02703 
98.88239, 409566.87616, 1573036.93694 
98.71199, 409539.42949, 1571406.84685 
98.54185, 409511.95845, 1569776.75676 
98.37198, 409484.46302, 1568146.66667 
98.20235, 409456.94313, 1566516.57658 
98.03299, 409429.39875, 1564886.48649 
97.86389, 409401.82984, 1563256.39640 
97.69504, 409374.23634, 1561626.30631 
97.52644, 409346.61821, 1559996.21622 
97.35811, 409318.97542, 1558366.12613 
97.19003, 409291.30790, 1556736.03604 
97.02220, 409263.61563, 1555105.94595 
96.85462, 409235.89854, 1553475.85586 
96.68730, 409208.15660, 1551845.76577 
96.52023, 409180.38976, 1550215.67568 
96.35342, 409152.59797, 1548585.58559 
96.18685, 409124.78118, 1546955.49550 
96.02054, 409096.93935, 1545325.40541 
95.85448, 409069.07242, 1543695.31532 
95.68866, 409041.18036, 1542065.22523 
95.52310, 409013.26311, 1540435.13514 
95.35778, 408985.32062, 1538805.04505 
95.19271, 408957.35284, 1537174.95495 
95.02789, 408929.35973, 1535544.86486 
94.86332, 408901.34123, 1533914.77477 
94.69899, 408873.29730, 1532284.68468 
94.53491, 408845.22788, 1530654.59459 
94.37107, 408817.13292, 1529024.50450 
94.20747, 408789.01238, 1527394.41441 
94.04413, 408760.86619, 1525764.32432 
93.88102, 408732.69432, 1524134.23423 
93.71816, 408704.49671, 1522504.14414 
93.55553, 408676.27330, 1520874.05405 
93.39316, 408648.02405, 1519243.96396 
93.23102, 408619.74889, 1517613.87387 
93.06912, 408591.44779, 1515983.78378 
92.90746, 408563.12068, 1514353.69369 
92.74604, 408534.76751, 1512723.60360 
92.58486, 408506.38823, 1511093.51351 
92.42392, 408477.98278, 1509463.42342 
92.26322, 408449.55111, 1507833.33333 
92.10275, 408421.09317, 1506203.24324 
91.94252, 408392.60889, 1504573.15315 
91.78252, 408364.09823, 1502943.06306 
91.62276, 408335.56113, 1501312.97297 
91.46324, 408306.99753, 1499682.88288 
91.30395, 408278.40737, 1498052.79279 
91.14489, 408249.79061, 1496422.70270 
90.98607, 408221.14718, 1494792.61261 
90.82748, 408192.47703, 1493162.52252 
90.66912, 408163.78009, 1491532.43243 
90.51099, 408135.05632, 1489902.34234 
90.35310, 408106.30565, 1488272.25225 
90.19543, 408077.52802, 1486642.16216 
90.03799, 408048.72338, 1485012.07207 
89.88079, 408019.89167, 1483381.98198 
89.72381, 407991.03283, 1481751.89189 
89.56706, 407962.14680, 1480121.80180 
89.41054, 407933.23351, 1478491.71171 
89.25424, 407904.29292, 1476861.62162 
89.09817, 407875.32496, 1475231.53153 
88.94233, 407846.32957, 1473601.44144 
88.78671, 407817.30668, 1471971.35135 
88.63132, 407788.25624, 1470341.26126 
88.47615, 407759.17819, 1468711.17117 
88.32121, 407730.07247, 1467081.08108 
88.16649, 407700.93900, 1465450.99099 
88.01199, 407671.77774, 1463820.90090 
87.85771, 407642.58862, 1462190.81081 
87.70366, 407613.37156, 1460560.72072 
87.54983, 407584.12653, 1458930.63063 
87.39622, 407554.85344, 1457300.54054 
87.24283, 407525.55223, 1455670.45045 
87.08965, 407496.22285, 1454040.36036 
86.93670, 407466.86522, 1452410.27027 
86.78397, 407437.47928, 1450780.18018 
86.63145, 407408.06497, 1449150.09009 
86.47915, 407378.62223, 1447520.00000 
86.32707, 407349.15098, 1445889.90991 
86.17520, 407319.65116, 1444259.81982 
86.02355, 407290.12271, 1442629.72973 
85.87212, 407260.56555, 1440999.63964 
85.72090, 407230.97963, 1439369.54955 
85.56990, 407201.36487, 1437739.45946 
85.41911, 407171.72122, 1436109.36937 
85.26853, 407142.04859, 1434479.27928 
85.11817, 407112.34692, 1432849.18919 
84.96801, 407082.61615, 1431219.09910 
84.81807, 407052.85621, 1429589.00901 
84.66835, 407023.06702, 1427958.91892 
84.51883, 406993.24852, 1426328.82883 
84.36952, 406963.40065, 1424698.73874 
84.22042, 406933.52332, 1423068.64865 
84.07153, 406903.61647, 1421438.55856 
83.92286, 406873.68004, 1419808.46847 
83.77438, 406843.71394, 1418178.37838 
83.62612, 406813.71811, 1416548.28829 
83.47807, 406783.69249, 1414918.19820 
83.33022, 406753.63698, 1413288.10811 
83.18257, 406723.55154, 1411658.01802 
83.03514, 406693.43607, 1410027.92793 
82.88791, 406663.29052, 1408397.83784 
82.74088, 406633.11481, 1406767.74775 
82.59406, 406602.90886, 1405137.65766 
82.44744, 406572.67260, 1403507.56757 
82.30103, 406542.40597, 1401877.47748 
82.15481, 406512.10888, 1400247.38739 
82.00881, 406481.78126, 1398617.29730 
81.86300, 406451.42304, 1396987.20721 
81.71739, 406421.03414, 1395357.11712 
81.57199, 406390.61449, 1393727.02703 
81.42678, 406360.16401, 1392096.93694 
81.28178, 406329.68263, 1390466.84685 
81.13698, 406299.17027, 1388836.75676 
80.99237, 406268.62685, 1387206.66667 
80.84796, 406238.05231, 1385576.57658 
80.70375, 406207.44655, 1383946.48649 
80.55974, 406176.80951, 1382316.39640 
80.41593, 406146.14111, 1380686.30631 
