rho [kg/m3], e [J/kg], P [Pa] 
84.52094, 366570.59025, 1285000.00000 
84.37453, 366544.22221, 1283725.92593 
84.22840, 366517.83912, 1282451.85185 
84.08255, 366491.44091, 1281177.77778 
83.93697, 366465.02751, 1279903.70370 
83.79167, 366438.59885, 1278629.62963 
83.64665, 366412.15486, 1277355.55556 
83.50189, 366385.69547, 1276081.48148 
83.35741, 366359.22061, 1274807.40741 
83.21320, 366332.73020, 1273533.33333 
83.06926, 366306.22418, 1272259.25926 
82.92559, 366279.70247, 1270985.18519 
82.78218, 366253.16501, 1269711.11111 
82.63904, 366226.61173, 1268437.03704 
82.49617, 366200.04254, 1267162.96296 
82.35357, 366173.45739, 1265888.88889 
82.21122, 366146.85620, 1264614.81481 
82.06914, 366120.23889, 1263340.74074 
81.92732, 366093.60541, 1262066.66667 
81.78576, 366066.95567, 1260792.59259 
81.64446, 366040.28962, 1259518.51852 
81.50342, 366013.60716, 1258244.44444 
81.36264, 365986.90824, 1256970.37037 
81.22212, 365960.19279, 1255696.29630 
81.08184, 365933.46072, 1254422.22222 
80.94183, 365906.71198, 1253148.14815 
80.80207, 365879.94649, 1251874.07407 
80.66256, 365853.16417, 1250600.00000 
80.52330, 365826.36496, 1249325.92593 
80.38429, 365799.54879, 1248051.85185 
80.24554, 365772.71557, 1246777.77778 
80.10703, 365745.86525, 1245503.70370 
79.96877, 365718.99775, 1244229.62963 
79.83076, 365692.11300, 1242955.55556 
79.69299, 365665.21092, 1241681.48148 
79.55547, 365638.29145, 1240407.40741 
79.41819, 365611.35451, 1239133.33333 
79.28116, 365584.40003, 1237859.25926 
79.14437, 365557.42795, 1236585.18519 
79.00782, 365530.43817, 1235311.11111 
78.87151, 365503.43065, 1234037.03704 
78.73544, 365476.40529, 1232762.96296 
78.59961, 365449.36203, 1231488.88889 
78.46402, 365422.30081, 1230214.81481 
78.32867, 365395.22154, 1228940.74074 
78.19355, 365368.12415, 1227666.66667 
78.05867, 365341.00857, 1226392.59259 
77.92402, 365313.87473, 1225118.51852 
77.78960, 365286.72256, 1223844.44444 
77.65542, 365259.55197, 1222570.37037 
77.52147, 365232.36291, 1221296.29630 
77.38776, 365205.15530, 1220022.22222 
77.25427, 365177.92906, 1218748.14815 
77.12101, 365150.68412, 1217474.07407 
76.98798, 365123.42041, 1216200.00000 
76.85518, 365096.13786, 1214925.92593 
76.72260, 365068.83639, 1213651.85185 
76.59025, 365041.51592, 1212377.77778 
76.45813, 365014.17640, 1211103.70370 
76.32623, 364986.81773, 1209829.62963 
76.19456, 364959.43985, 1208555.55556 
76.06311, 364932.04269, 1207281.48148 
75.93188, 364904.62617, 1206007.40741 
75.80087, 364877.19022, 1204733.33333 
75.67008, 364849.73476, 1203459.25926 
75.53951, 364822.25972, 1202185.18519 
75.40917, 364794.76503, 1200911.11111 
75.27904, 364767.25061, 1199637.03704 
75.14912, 364739.71638, 1198362.96296 
75.01943, 364712.16250, 1197088.88889 
74.88995, 364684.58844, 1195814.81481 
74.76068, 364656.99437, 1194540.74074 
74.63163, 364629.38019, 1193266.66667 
74.50280, 364601.74584, 1191992.59259 
74.37417, 364574.09124, 1190718.51852 
74.24576, 364546.41632, 1189444.44444 
74.11756, 364518.72100, 1188170.37037 
73.98957, 364491.00520, 1186896.29630 
73.86179, 364463.26886, 1185622.22222 
73.73422, 364435.51189, 1184348.14815 
73.60686, 364407.73422, 1183074.07407 
73.47971, 364379.93578, 1181800.00000 
73.35276, 364352.11648, 1180525.92593 
73.22602, 364324.27627, 1179251.85185 
73.09949, 364296.41505, 1177977.77778 
72.97316, 364268.53275, 1176703.70370 
72.84703, 364240.62930, 1175429.62963 
72.72111, 364212.70462, 1174155.55556 
72.59539, 364184.75864, 1172881.48148 
