rho [kg/m3], e [J/kg], P [Pa] 
435.44661, 320543.64765, 1965130.00000 
435.36189, 320542.76995, 1963206.14615 
435.27700, 320541.89088, 1961282.29229 
435.19192, 320541.01042, 1959358.43844 
435.10665, 320540.12858, 1957434.58458 
435.02120, 320539.24534, 1955510.73073 
434.93557, 320538.36070, 1953586.87688 
434.84974, 320537.47464, 1951663.02302 
434.76373, 320536.58717, 1949739.16917 
434.67753, 320535.69828, 1947815.31532 
434.59114, 320534.80795, 1945891.46146 
434.50456, 320533.91618, 1943967.60761 
434.41779, 320533.02296, 1942043.75375 
434.33082, 320532.12828, 1940119.89990 
434.24366, 320531.23214, 1938196.04605 
434.15631, 320530.33452, 1936272.19219 
434.06875, 320529.43542, 1934348.33834 
433.98101, 320528.53483, 1932424.48448 
433.89306, 320527.63036, 1930500.63063 
433.80491, 320526.73187, 1928576.77678 
433.71657, 320525.82292, 1926652.92292 
433.62803, 320524.91631, 1924729.06907 
433.53928, 320524.00835, 1922805.21522 
433.45033, 320523.09688, 1920881.36136 
433.36118, 320522.18657, 1918957.50751 
433.27181, 320521.27457, 1917033.65365 
433.18225, 320520.36002, 1915109.79980 
433.09248, 320519.44294, 1913185.94595 
433.00250, 320518.52493, 1911262.09209 
432.91231, 320517.60559, 1909338.23824 
432.82190, 320516.68485, 1907414.38438 
432.73129, 320515.76264, 1905490.53053 
432.64046, 320514.83890, 1903566.67668 
432.54942, 320513.91360, 1901642.82282 
432.45817, 320512.98670, 1899718.96897 
432.36669, 320512.05817, 1897795.11512 
432.27500, 320511.12799, 1895871.26126 
432.18309, 320510.19614, 1893947.40741 
432.09097, 320509.26215, 1892023.55355 
431.99862, 320508.32622, 1890099.69970 
431.90605, 320507.38869, 1888175.84585 
431.81325, 320506.44954, 1886251.99199 
431.72023, 320505.50875, 1884328.13814 
431.62699, 320504.56628, 1882404.28428 
431.53351, 320503.62213, 1880480.43043 
431.43981, 320502.67628, 1878556.57658 
431.34588, 320501.72870, 1876632.72272 
431.25172, 320500.77937, 1874708.86887 
431.15733, 320499.82829, 1872785.01502 
431.06270, 320498.87677, 1870861.16116 
430.96783, 320497.92160, 1868937.30731 
